City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,barrow,71.2906,-156.7887,28.42,93,90,18.41,US,1623076122
1,pisco,-13.7,-76.2167,64.45,77,90,3.44,PE,1623076452
2,arraial do cabo,-22.9661,-42.0278,76.96,78,40,11.5,BR,1623076452
3,kapaa,22.0752,-159.319,75.52,81,75,7.0,US,1623076453
4,saint-philippe,-21.3585,55.7679,72.99,76,87,16.08,RE,1623076453
5,wuan,31.6836,112.0044,77.94,59,100,6.67,CN,1623076453
6,almaznyy,48.0448,40.045,68.14,76,100,10.09,RU,1623076454
7,vardo,70.3705,31.1107,56.95,76,0,10.36,NO,1623076454
8,new norfolk,-42.7826,147.0587,55.76,56,99,8.05,AU,1623076454
9,port elizabeth,-33.918,25.5701,79.09,24,0,10.36,ZA,1623076454
10,peniche,39.3558,-9.3811,80.55,73,3,16.42,PT,1623076455
11,linxia,35.6003,103.2064,58.48,66,39,5.26,CN,1623076455
12,jamestown,42.097,-79.2353,81.01,70,75,5.01,US,1623076455
13,busselton,-33.65,115.3333,48.09,84,74,10.49,AU,1623076456
14,pudozh,61.8099,36.5345,66.0,32,44,8.93,RU,1623076456
15,butaritari,3.0707,172.7902,81.14,73,46,3.33,KI,1623076456
16,punta arenas,-53.15,-70.9167,37.51,87,75,8.19,CL,1623076456
17,la salle,41.3334,-89.0918,76.01,76,90,9.22,US,1623076457
18,nola,40.922,14.5329,78.71,56,84,4.0,IT,1623076457
19,nador,35.174,-2.9287,80.67,62,14,11.03,MA,1623076457
20,nalut,30.3333,10.85,105.46,8,7,9.37,LY,1623076458
21,mataura,-46.1927,168.8643,38.91,95,2,2.51,NZ,1623076458
22,ushuaia,-54.8,-68.3,40.66,81,40,2.3,AR,1623076181
23,ancud,-41.8697,-73.8203,48.22,83,100,16.37,CL,1623076458
24,saldanha,-33.0117,17.9442,82.45,44,99,11.54,ZA,1623076459
25,albany,42.6001,-73.9662,86.63,61,0,4.23,US,1623076160
26,sorland,67.667,12.6934,53.46,82,90,6.91,NO,1623076459
27,narsaq,60.9167,-46.05,55.62,52,100,11.48,GL,1623076459
28,adeje,28.1227,-16.726,80.17,61,20,8.01,ES,1623076460
29,rikitea,-23.1203,-134.9692,76.26,82,86,20.4,PF,1623076460
30,victoria,22.2855,114.1577,84.38,83,44,1.99,HK,1623076460
31,kapuskasing,49.4169,-82.4331,78.89,50,75,13.8,CA,1623076460
32,saint george,37.1041,-113.5841,82.87,15,1,1.99,US,1623076461
33,falkenberg,56.9055,12.4912,65.97,84,100,7.16,SE,1623076461
34,tiksi,71.6872,128.8694,36.09,85,73,5.21,RU,1623076461
35,avarua,-21.2078,-159.775,68.05,77,36,3.44,CK,1623076461
36,certeze,47.9,23.4667,72.37,63,54,4.12,RO,1623076462
37,bredasdorp,-34.5322,20.0403,76.32,27,100,4.83,ZA,1623076462
38,thompson,55.7435,-97.8558,46.56,61,40,10.36,CA,1623076462
39,port lincoln,-34.7333,135.8667,49.35,74,92,19.44,AU,1623076463
40,shunyi,40.125,116.6453,80.08,64,0,4.47,CN,1623076463
41,sawtell,-30.3833,153.1,57.22,86,60,12.66,AU,1623076463
42,hermanus,-34.4187,19.2345,67.87,51,100,4.47,ZA,1623076463
43,ati,13.2154,18.3353,105.37,14,31,4.54,TD,1623076464
44,lodja,-3.4833,23.4333,89.11,42,65,1.86,CD,1623076464
45,asyut,27.181,31.1837,94.39,11,4,17.16,EG,1623076464
46,east london,-33.0153,27.9116,72.54,40,0,10.36,ZA,1623076465
47,vaini,-21.2,-175.2,69.96,100,40,4.61,TO,1623076465
48,miandrivazo,-19.5167,45.4667,79.05,39,6,5.88,MG,1623076465
49,san ramon,37.7799,-121.978,58.64,81,1,7.0,US,1623076465
50,harindanga,22.0383,88.3214,76.98,78,100,19.46,IN,1623076466
51,mar del plata,-38.0023,-57.5575,57.09,84,0,1.99,AR,1623076466
52,paragominas,-2.9667,-47.4833,88.83,54,71,3.06,BR,1623076466
53,coihaique,-45.5752,-72.0662,44.55,87,90,6.91,CL,1623076467
54,namatanai,-3.6667,152.4333,78.67,81,77,3.2,PG,1623076467
55,airai,-8.9266,125.4092,57.06,90,60,2.33,TL,1623076467
56,ivankiv,50.9386,29.8943,73.56,69,56,7.27,UA,1623076467
57,malinovskiy,61.1953,62.8397,49.89,67,34,9.95,RU,1623076468
58,kingsville,27.5159,-97.8561,86.09,82,75,5.99,US,1623076468
59,zinder,13.8072,8.9881,104.49,13,48,8.81,NE,1623076468
60,khorixas,-20.3667,14.9667,78.13,23,0,18.66,NA,1623076468
61,tasiilaq,65.6145,-37.6368,46.56,87,76,3.98,GL,1623076469
